USER_ID,USER_TEL,USER_NAME,CRD_INST_ID,CRD_CREDIT_ID,CRD_INST_TOTAL_AMOUNT,CRD_INST_INTEREST_AMOUNT,CRD_INST_INTEREST_AMOUNT_PAID,CRD_INST_AMORTIZATION_AMOUNT,CRD_INST_AMORTIZATION_AMOUNT_PAID,CRD_INST_EXPENSE_TOTAL_AMOUNT,CRD_INST_EXPENSE_TOTAL_AMOUNT_PAID,CRD_INST_LATE_FEE_TOTAL_AMOUNT,CRD_INST_LATE_FEE_TOTAL_AMOUNT_PAID,CRD_INST_TOTAL_AMOUNT_FINAL,CRD_INST_TOTAL_AMOUNT_PAID,CRD_INST_NUMBER,CRD_INST_DUE_DATE_ID,CRD_INST_LAST_UPDATE_ID,CRD_INST_PAYMENT_DT_ID,CRD_INST_STATUS_ID,AUD_INS_DT,AUD_UPD_DT,AUD_FROM_INTERFACE,CRD_LATE_FEE_SYSTEM_ID,CRD_INST_COLLECTION_TYPE_ID,CRD_INST_REQ_AMORT_AMOUNT
1,123456789,Ramiro,14733072,3491244,43.77,14.63,14.63,29.14,29.14,0.00,0.00,0.00,0.00,43.77,43.77,1,2019-08-22 13:38:00.0,2019-08-22 16:15:16.0,2019-08-22 16:15:15.0,PAID,2019-07-23 00:14:55.0,2019-08-25 00:21:46.0,BT_MP_CREDITS_INSTALLMENT,MERCHANT_MLB_1,ONLINE,28.88
2,,Maria,42461859,11913749,54.45,12.05,0.00,40.47,0.00,1.93,0.00,0.00,0.00,54.45,0.00,5,2020-11-15 19:07:30.0,2020-06-30 18:07:30.0,[object Object],SCHEDULED,2020-07-01 00:22:04.0,2020-07-03 00:22:37.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLM_1,OFFLINE,40.47
3,,Susana,23174430,5946650,34.84,7.62,7.62,27.22,27.22,0.00,0.00,0.00,0.00,34.84,34.84,3,2020-02-15 10:02:58.0,2020-02-12 08:20:24.0,2020-02-12 03:16:28.0,PAID,2019-11-25 00:25:56.0,2020-02-15 00:21:44.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,OFFLINE,26.93
4,,Daniela,20120256,5065954,61.45,17.06,17.06,44.39,44.39,0.00,0.00,0.00,0.00,61.45,61.45,1,2019-11-15 13:30:34.0,2019-11-16 23:30:17.0,2019-11-16 23:30:16.0,PAID,2019-10-16 00:26:40.0,2019-11-19 00:32:49.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,OFFLINE,43.93
5,,Jose,10167409,2267034,527.12,38.45,38.45,480.60,480.60,08.07,08.07,0.00,0.00,527.12,527.12,3,2019-07-28 10:50:22.0,2019-07-31 11:00:18.0,2019-07-31 11:00:17.0,PAID,2019-05-11 02:04:58.0,2019-08-03 00:17:49.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLA_1,ONLINE,480.60
6,,Luis,35380603,9577602,275.20,20.83,20.83,250.00,250.00,25.19,25.19,99.13,99.13,395.15,395.15,1,2020-05-15 19:18:05.0,2020-06-04 16:55:23.0,2020-06-04 16:55:22.0,PAID,2020-04-26 00:19:38.0,2020-06-07 00:22:54.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLA_1,ONLINE,250.00
7,,Lina,35933265,9774853,225.72,37.53,37.53,182.19,182.19,6.00,6.00,0.00,0.00,225.72,225.72,1,2020-06-05 14:25:51.0,2020-05-28 18:43:32.0,2020-05-28 18:43:29.0,PAID,2020-05-06 00:23:27.0,2020-05-31 00:24:06.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLM_1,OFFLINE,182.19
8,,Francisco,47244622,13625668,59.53,3.82,3.82,55.71,55.71,0.00,0.00,0.00,0.00,59.53,59.53,1,2020-08-15 00:06:27.0,2020-08-15 11:13:34.0,2020-08-15 03:39:46.0,PAID,2020-07-30 00:21:42.0,2020-08-18 00:22:01.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,OFFLINE,55.71
9,,Guadalupe,40450761,11212065,239.83,21.47,0.00,218.36,0.00,0.00,0.00,0.00,0.00,239.83,0.00,3,2020-09-13 20:04:31.0,2020-06-13 20:04:31.0,[object Object],SCHEDULED,2020-06-14 00:20:53.0,2020-06-16 00:24:07.0,BT_MP_CREDITS_INSTALLMENT,EARLY_OFFER_MLB_1,ONLINE,218.36
10,,Milena,20728802,5249812,1026.82,114.69,114.69,888.05,888.05,75.89,75.89,246.68,246.68,1325.31,1325.31,6,2020-04-15 13:58:46.0,2020-05-04 10:41:21.0,2020-05-04 10:41:20.0,PAID,2019-10-25 00:17:45.0,2020-05-07 00:21:52.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLA_1,ONLINE,888.05
11,,Juana,39195494,10800567,8.00,6.68,6.68,1.32,1.32,0.00,0.00,0.00,0.00,8.00,8.00,1,2020-07-10 08:28:30.0,2020-06-09 06:50:16.0,2020-06-09 06:49:14.0,PAID,2020-06-04 00:21:44.0,2020-06-12 00:22:58.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,OFFLINE,1.32
12,,Wilmer,31514393,8364264,36.04,3.34,3.34,32.70,32.70,0.00,0.00,0.00,0.00,36.04,36.04,1,2020-03-15 07:57:03.0,2020-04-10 03:01:28.0,2020-04-10 02:50:42.0,PAID,2020-03-01 00:24:52.0,2020-04-13 00:16:10.0,BT_MP_CREDITS_INSTALLMENT,DEFAULT_NO_CHARGE,OFFLINE,32.49
13,,Rosio,26267559,6857726,51.43,19.08,19.08,32.35,32.35,0.00,0.00,0.00,0.00,51.43,51.43,1,2020-02-05 14:32:09.0,2020-02-11 07:18:22.0,2020-02-11 07:10:38.0,PAID,2020-01-03 00:21:09.0,2020-02-14 00:21:48.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,ONLINE,32.01
14,,Martina,51711946,15221075,37.82,4.58,0.00,33.24,0.00,0.00,0.00,0.00,0.00,37.82,0.00,3,2020-11-10 21:02:15.0,2020-08-19 21:02:15.0,[object Object],SCHEDULED,2020-08-20 00:22:50.0,2020-08-22 00:24:09.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,OFFLINE,33.24
15,,Luisa,39756237,10986272,57.00,17.80,17.80,36.35,36.35,2.85,2.85,0.00,0.00,57.00,57.00,2,2020-08-15 04:14:38.0,2020-08-06 02:26:42.0,2020-08-06 02:26:41.0,PAID,2020-06-09 00:21:57.0,2020-08-09 00:21:52.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLM_1,OFFLINE,36.35
16,,Sofia,19944664,5013844,1036.40,304.14,304.14,668.39,668.39,105.01,105.01,195.88,195.88,1273.42,1273.42,4,2020-02-05 18:23:14.0,2020-02-28 11:34:08.0,2020-02-28 11:34:07.0,PAID,2019-10-13 00:23:00.0,2020-03-02 00:24:41.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLA_1,ONLINE,668.39
17,,Erika,7807214,1668672,76.01,2.84,2.84,73.17,73.17,0.00,0.00,0.00,0.00,76.01,76.01,4,2019-07-28 18:09:34.0,2019-10-03 03:19:05.0,2019-10-03 03:19:04.0,PAID,2019-03-30 02:06:10.0,2019-10-06 00:18:07.0,BT_MP_CREDITS_INSTALLMENT,DEFAULT_NO_CHARGE,ONLINE,72.42
18,,Martin,46751025,13445193,75.17,8.16,8.16,67.01,67.01,0.00,0.00,0.00,0.00,75.17,75.17,2,2020-09-10 13:57:10.0,2020-09-10 07:29:48.0,2020-09-10 07:29:47.0,PAID,2020-07-28 00:22:56.0,2020-09-12 00:24:48.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,OFFLINE,67.01
19,,Diego,3992485,755893,47.80,04.03,0.00,43.77,0.00,0.00,0.00,97.52,0.00,145.32,0.00,4,2019-03-05 06:56:20.0,2020-09-11 00:37:35.0,[object Object],IN_REPAYMENT,2018-11-18 02:12:41.0,2020-09-12 00:24:48.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLB_1,ONLINE,43.36
20,,David,21533244,5496447,853.37,193.49,193.49,619.25,619.25,59.26,59.26,88.69,88.69,960.69,960.69,7,2020-06-05 09:12:01.0,2020-06-09 06:34:59.0,2020-06-09 06:34:58.0,PAID,2019-11-08 00:25:08.0,2020-06-12 00:22:58.0,BT_MP_CREDITS_INSTALLMENT,CONSUMER_MLA_1,ONLINE,619.25
